City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Eenhana,NA,-17.4667,16.3333,71.24,19,71,3.56,broken clouds
1,Sandwick,GB,60.0,-1.25,53.42,87,20,20.71,light rain
2,Hulyaypole,UA,47.6653,36.2578,51.89,68,6,6.78,clear sky
3,Punta Arenas,CL,-53.15,-70.9167,42.91,70,75,14.97,broken clouds
4,Port Alfred,ZA,-33.5906,26.891,58.17,87,100,4.0,overcast clouds
5,Upernavik,GL,72.7868,-56.1549,25.16,89,100,0.78,light snow
6,Cape Town,ZA,-33.9258,18.4232,60.39,72,40,3.44,scattered clouds
7,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,78.84,72,17,2.57,few clouds
8,Klaksvik,FO,62.2266,-6.589,45.52,76,50,14.36,scattered clouds
9,Melendugno,IT,40.2747,18.3368,65.05,94,0,8.05,clear sky
10,Gondar,ET,12.6,37.4667,54.95,72,37,6.29,scattered clouds
11,Murgab,TM,37.4966,61.9714,49.87,53,0,0.0,clear sky
12,Nortelandia,BR,-14.4547,-56.8028,79.38,69,100,4.27,overcast clouds
13,Yar-Sale,RU,66.8333,70.8333,35.42,97,100,10.33,overcast clouds
14,Pangnirtung,CA,66.1451,-65.7125,28.83,92,100,3.11,light snow
15,Kruisfontein,ZA,-34.0033,24.7314,60.89,77,100,12.01,overcast clouds
16,Ushuaia,AR,-54.8,-68.3,42.46,65,75,2.3,broken clouds
17,Bredasdorp,ZA,-34.5322,20.0403,50.58,87,0,4.59,clear sky
18,Walvis Bay,NA,-22.9575,14.5053,52.75,87,0,6.91,clear sky
19,Maniitsoq,GL,65.4167,-52.9,31.1,93,100,4.88,light snow
20,Hermanus,ZA,-34.4187,19.2345,51.8,75,4,2.44,clear sky
21,Angoche,MZ,-16.2325,39.9086,70.23,88,0,5.91,clear sky
22,Iqaluit,CA,63.7506,-68.5145,19.13,92,20,6.91,few clouds
23,Jamestown,US,42.097,-79.2353,60.71,54,0,4.61,clear sky
24,Dogondoutchi,NE,13.6393,4.0287,85.37,46,15,4.79,few clouds
25,Olafsvik,IS,64.8945,-23.7142,41.63,69,100,13.71,overcast clouds
26,Morshansk,RU,53.4435,41.8107,49.1,94,52,1.01,broken clouds
