City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Port Blair,IN,9/27/2022 18:51,11.6667,92.75,78.84,94,75,1.14
1,Ushuaia,AR,9/27/2022 18:51,-54.8,-68.3,53.22,66,40,40.29
2,Yar-Sale,RU,9/27/2022 18:51,66.8333,70.8333,28.72,80,97,10.02
3,Faya,SA,9/27/2022 18:51,18.3851,42.4509,70.32,28,1,6.26
4,Port Alfred,ZA,9/27/2022 18:51,-33.5906,26.891,63.18,99,100,8.01
5,Salmas,IR,9/27/2022 18:51,38.1973,44.7653,62.8,34,0,3.56
6,Jamestown,US,9/27/2022 18:50,42.097,-79.2353,56.52,92,100,11.5
7,Capreol,CA,9/27/2022 18:51,46.706,-80.9225,52.27,76,75,14.97
8,Nanortalik,GL,9/27/2022 18:51,60.1432,-45.2371,46.35,92,88,8.52
9,Busselton,AU,9/27/2022 18:51,-33.65,115.3333,50.13,88,4,9.31
10,Niquero,CU,9/27/2022 18:51,20.0431,-77.5828,85.84,71,100,16.53
11,Umm Lajj,SA,9/27/2022 18:51,25.0213,37.2685,89.15,37,0,4.34
12,Mansa,IN,9/27/2022 18:51,29.9833,75.3833,77.45,69,0,5.61
13,Pedernales,DO,9/27/2022 18:51,18.0384,-71.744,87.26,63,63,4.38
14,Klaksvik,FO,9/27/2022 18:51,62.2266,-6.589,47.32,92,72,17.25
15,Hithadhoo,MV,9/27/2022 18:51,-0.6,73.0833,81.75,74,100,12.28
16,Cape Town,ZA,9/27/2022 18:51,-33.9258,18.4232,61.12,71,0,8.05
17,Carnarvon,AU,9/27/2022 18:51,-24.8667,113.6333,67.19,40,0,12.57
18,Chicama,PE,9/27/2022 18:51,-7.8447,-79.1469,63.14,59,33,11.59
19,Port Elizabeth,ZA,9/27/2022 18:51,-33.918,25.5701,66.09,99,100,18.41
20,Baltiysk,RU,9/27/2022 18:51,54.6538,19.911,56.32,81,100,18.61
21,Hermanus,ZA,9/27/2022 18:51,-34.4187,19.2345,53.8,80,0,2.15
22,Korla,CN,9/27/2022 18:48,41.7597,86.1469,68.65,24,0,2.84
23,Calabozo,VE,9/27/2022 18:51,8.9242,-67.4293,89.83,57,94,1.81
24,Ostrovnoy,RU,9/27/2022 18:51,68.0531,39.5131,38.57,83,100,9.98
25,Torbay,CA,9/27/2022 18:51,47.6666,-52.7314,74.88,81,75,18.41
26,Iqaluit,CA,9/27/2022 18:51,63.7506,-68.5145,38.93,60,75,20.71
27,Boende,CD,9/27/2022 18:51,-0.2167,20.8667,71.55,98,96,2.64
28,Salalah,OM,9/27/2022 18:51,17.0151,54.0924,78.84,80,5,2.44
29,San Clemente,US,9/27/2022 18:49,33.427,-117.612,105.17,70,6,4
30,Vardo,NO,9/27/2022 18:51,70.3705,31.1107,46.38,87,75,10.36
31,Victoria,HK,9/27/2022 18:49,22.2855,114.1577,84.38,78,100,11.99
32,Adrar,MR,9/27/2022 18:51,20.5022,-10.0711,100.49,14,92,7.31
33,Lebu,CL,9/27/2022 18:47,-37.6167,-73.65,53.13,70,0,20.24
34,Thurso,GB,9/27/2022 18:51,58.5927,-3.5259,50.25,78,19,8.75
35,Miracema Do Tocantins,BR,9/27/2022 18:51,-9.5618,-48.3967,99.55,18,3,6.35
36,Bull Savanna,JM,9/27/2022 18:51,17.8868,-77.5902,82.54,72,100,9.6
37,Mogadishu,SO,9/27/2022 18:51,2.0371,45.3438,77.72,85,93,14.38
38,Ribeira Grande,PT,9/27/2022 18:51,38.5167,-28.7,72,64,40,18.41
39,Clyde River,CA,9/27/2022 18:51,70.4692,-68.5914,37.63,65,20,8.05
40,Dalvik,IS,9/27/2022 18:51,65.9702,-18.5286,42.73,73,100,1.7
41,Saint Anthony,US,9/27/2022 18:51,45.0205,-93.218,59.79,45,0,13.8
42,Panaba,MX,9/27/2022 18:51,21.2833,-88.2667,84.85,73,59,11.16
43,Lasa,IT,9/27/2022 18:51,46.6166,10.7002,54.48,78,28,3.6
44,Ponta Do Sol,PT,9/27/2022 18:52,32.6667,-17.1,73,73,100,9.13
45,Ilhabela,BR,9/27/2022 18:52,-23.7781,-45.3581,70.05,89,100,3.53
46,Saint-Philippe,RE,9/27/2022 18:53,-21.3585,55.7679,71.19,75,43,11.01
47,Hofn,IS,9/27/2022 18:53,64.2539,-15.2082,45.82,67,30,1.39
48,Nevel,RU,9/27/2022 18:53,56.0209,29.9284,42.8,95,13,5.21
49,Lagos,NG,9/27/2022 18:51,6.5833,3.75,79.12,94,100,3.6
50,Kaoma,ZM,9/27/2022 18:53,-14.7833,24.8,77.77,20,33,8.03
51,La Roche-Sur-Yon,FR,9/27/2022 18:51,46.6667,-1.4333,61.07,94,100,17.27
52,Abu Samrah,SY,9/27/2022 18:53,35.3029,37.1841,71.28,37,0,7.85
53,Wagar,SD,9/27/2022 18:53,16.1525,36.2032,94.39,31,42,9.66
54,Longyearbyen,SJ,9/27/2022 18:53,78.2186,15.6401,37.24,87,75,1.14
55,Semey,KZ,9/27/2022 18:53,50.4111,80.2275,54.05,43,100,8.23
56,Touros,BR,9/27/2022 18:53,-5.1989,-35.4608,81.05,59,11,19.71
57,Castletown,IE,9/27/2022 18:53,53.0281,-9.0686,52.29,94,100,6.31
58,Inongo,CD,9/27/2022 18:53,-1.95,18.2667,70.92,94,100,0.76
59,Montlucon,FR,9/27/2022 18:48,46.3333,2.6,54.7,85,100,5.01
60,Caarapo,BR,9/27/2022 18:53,-22.6342,-54.8222,69.8,95,100,4.12
61,Bredasdorp,ZA,9/27/2022 18:53,-34.5322,20.0403,53.83,91,0,3.58
62,Campbellton,CA,9/27/2022 18:53,48.0075,-66.6727,61.25,53,100,6.04
63,Punta Arenas,CL,9/27/2022 18:53,-53.15,-70.9167,51.91,58,75,28.77
64,Sipe Sipe,BO,9/27/2022 18:53,-17.45,-66.3833,79.29,28,15,12.93
65,Azul,AR,9/27/2022 18:53,-36.777,-59.8585,72.18,27,5,14.47
66,Statesboro,US,9/27/2022 18:48,32.4488,-81.7832,80.13,35,0,5.75
67,Georgetown,MY,9/27/2022 18:53,5.4112,100.3354,81.9,89,20,1.14
68,Saint-Augustin,CA,9/27/2022 18:50,51.226,-58.6502,60.31,80,100,14.18
